tlsID,phaseID
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
1,0
1,1
1,2
1,3
1,4
1,5
2,0
2,1
2,2
2,3
2,4
2,5
3,0
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
4,0
4,1
4,2
4,3
4,4
5,0
5,1
5,2
5,3
5,4
6,0
6,1
6,2
6,3
6,4
7,0
7,1
7,2
8,0
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
9,0
9,1
9,2
10,0
10,1
10,2
11,0
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
12,0
12,1
12,2
12,3
12,4
12,5
13,0
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
14,0
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
15,0
15,1
15,2
15,3
15,4
15,5
15,6
16,0
16,1
16,2
16,3
16,4
16,5
17,0
17,1
17,2
17,3
18,0
18,1
18,2
18,3
18,4
18,5
19,0
19,1
19,2
20,0
20,1
20,2
20,3
20,4
21,0
21,1
21,2
21,3
21,4
22,0
22,1
22,2
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,10
22,11
23,0
23,1
24,0
24,1
24,2
24,3
25,0
25,1
25,2
25,3
25,4
25,5
25,6
25,7
25,8
25,9
26,0
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,8
26,9
26,10
26,11
27,0
27,1
28,0
28,1
0,10
1,6
2,6
3,9
4,5
5,5
6,5
7,3
8,10
9,3
10,3
11,10
12,6
13,10
14,10
15,7
16,6
17,4
18,6
19,3
20,5
21,5
22,12
23,2
24,4
25,10
26,12
27,2
28,2